Severity	Code	Description	Project	File	Line	Suppression State	Details
Error (active)	CS0103	The name 'txtFilter' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	1525		
Error (active)	CS0103	The name 'lvSettings' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	84		
Error (active)	CS0103	The name 'lvSettings' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	85		
Error (active)	CS0103	The name 'lvSettings' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	87		
Error (active)	CS0103	The name 'lvSettings' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	117		
Error (active)	CS0103	The name 'lvSettings' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	122		
Error (active)	CS0103	The name 'lblApplications' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	172		
Error (active)	CS0103	The name 'tssbRemoveApplication' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	173		
Error (active)	CS0103	The name 'lblApplications' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	175		
Error (active)	CS0103	The name 'tssbRemoveApplication' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	178		
Error (active)	CS0103	The name 'tssbRemoveApplication' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	181		
Error (active)	CS0103	The name 'tssbRemoveApplication' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	181		
Error (active)	CS0103	The name 'tscbShowCustomSettingNamesOnly' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	186		
Error (active)	CS0103	The name 'tscbShowScannedUnknownSettings' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	188		
Error (active)	CS0103	The name 'lvSettings' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	197		
Error (active)	CS0103	The name 'lvSettings' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	198		
Error (active)	CS0103	The name 'lvSettings' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	200		
Error (active)	CS0103	The name 'lvSettings' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	203		
Error (active)	CS0103	The name 'lvSettings' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	204		
Error (active)	CS0103	The name 'txtFilter' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	210		
Error (active)	CS0103	The name 'lvSettings' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	226		
Error (active)	CS0103	The name 'btnResetValue' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	234		
Error (active)	CS0103	The name 'lvSettings' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	238		
Error (active)	CS0103	The name 'cbValues' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	238		
Error (active)	CS0103	The name 'lvSettings' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	239		
Error (active)	CS0103	The name 'btnResetValue' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	239		
Error (active)	CS0103	The name 'lvSettings' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	245		
Error (active)	CS0103	The name 'lvSettings' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	247		
Error (active)	CS0103	The name 'lvSettings' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	251		
Error (active)	CS0103	The name 'lvSettings' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	255		
Error (active)	CS0103	The name 'lvSettings' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	259		
Error (active)	CS0103	The name 'lvSettings' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	262		
Error (active)	CS0103	The name 'lvSettings' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	264		
Error (active)	CS0103	The name 'lvSettings' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	266		
Error (active)	CS0103	The name 'lvSettings' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	267		
Error (active)	CS0103	The name 'cbProfiles' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	269		
Error (active)	CS0103	The name 'lvSettings' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	271		
Error (active)	CS0103	The name 'cbValues' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	272		
Error (active)	CS0103	The name 'lvSettings' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	272		
Error (active)	CS0103	The name 'cbProfiles' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	282		
Error (active)	CS0103	The name 'cbProfiles' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	285		
Error (active)	CS0103	The name 'cbProfiles' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	287		
Error (active)	CS0103	The name 'lvSettings' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	292		
Error (active)	CS0103	The name 'cbValues' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	294		
Error (active)	CS0103	The name 'lvSettings' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	294		
Error (active)	CS0103	The name 'btnResetValue' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	296		
Error (active)	CS0103	The name 'cbValues' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	298		
Error (active)	CS0103	The name 'tsbBitValueEditor' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	300		
Error (active)	CS0103	The name 'cbValues' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	302		
Error (active)	CS0103	The name 'cbValues' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	303		
Error (active)	CS0103	The name 'lvSettings' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	303		
Error (active)	CS0103	The name 'lvSettings' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	304		
Error (active)	CS0103	The name 'cbValues' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	320		
Error (active)	CS0103	The name 'tsbBitValueEditor' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	324		
Error (active)	CS0103	The name 'cbValues' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	333		
Error (active)	CS0103	The name 'cbValues' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	340		
Error (active)	CS0103	The name 'cbValues' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	344		
Error (active)	CS0103	The name 'cbValues' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	346		
Error (active)	CS0103	The name 'cbValues' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	347		
Error (active)	CS0103	The name 'tbSettingDescription' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	359		
Error (active)	CS0103	The name 'tbSettingDescription' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	360		
Error (active)	CS0103	The name 'tbSettingDescription' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	361		
Error (active)	CS0103	The name 'tbSettingDescription' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	365		
Error (active)	CS0103	The name 'tbSettingDescription' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	366		
Error (active)	CS0103	The name 'tbSettingDescription' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	367		
Error (active)	CS0103	The name 'cbValues' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	370		
Error (active)	CS0103	The name 'lvSettings' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	370		
Error (active)	CS0103	The name 'cbValues' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	371		
Error (active)	CS0103	The name 'lvSettings' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	373		
Error (active)	CS0103	The name 'cbValues' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	373		
Error (active)	CS0103	The name 'lvSettings' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	373		
Error (active)	CS0103	The name 'lvSettings' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	375		
Error (active)	CS0103	The name 'lvSettings' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	376		
Error (active)	CS0103	The name 'btnResetValue' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	376		
Error (active)	CS0103	The name 'lvSettings' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	376		
Error (active)	CS0103	The name 'lvSettings' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	377		
Error (active)	CS0103	The name 'cbValues' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	378		
Error (active)	CS0103	The name 'cbValues' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	388		
Error (active)	CS0103	The name 'lvSettings' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	392		
Error (active)	CS0103	The name 'cbValues' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	392		
Error (active)	CS0103	The name 'lvSettings' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	393		
Error (active)	CS0103	The name 'btnResetValue' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	393		
Error (active)	CS0103	The name 'btnResetValue' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	397		
Error (active)	CS0103	The name 'cbValues' does not exist in the current context	nvidiaProfileInspector	C:\Users\Kingo\source\repos\nvidiaProfileInspector\nspector\frmDrvSettings.cs	398		
